Age,MortRate
Adult,0.67
Adult,0.67
Adult,0.67
Adult,0.33
Adult,0.50
Adult,0.50
Adult,0.25
Adult,0.25
Adult,0.60
Adult,0.20
Adult,0.60
Adult,0.20
Adult,1.00
Adult,0.50
Adult,0.83
Adult,0.43
Adult,0.29
Adult,0.29
Adult,0.29
Adult,0.43
Adult,0.57
Adult,0.75
Adult,0.25
Adult,0.25
Adult,0.56
Adult,0.44
Adult,0.33
Adult,0.56
Adult,0.33
Adult,0.56
Adult,0.56
Adult,0.10
Adult,0.40
Adult,0.20
Adult,0.90
Adult,0.55
Adult,0.27
Adult,0.45
Adult,0.33
Adult,0.25
Adult,0.25
Adult,0.92
Adult,0.15
Adult,0.46
Adult,0.31
Adult,0.54
Adult,0.23
Adult,0.29
Adult,0.07
Adult,0.64
Adult,0.29
Adult,0.50
Adult,0.29
Adult,0.50
Adult,0.50
Adult,0.21
Adult,0.29
Adult,0.13
Adult,0.07
Adult,0.33
Adult,0.33
Adult,0.13
Adult,0.40
Adult,0.40
Adult,0.56
Adult,0.63
Adult,0.13
Adult,0.25
Adult,0.50
Adult,0.19
Adult,0.13
Adult,0.19
Adult,0.31
Adult,0.41
Adult,0.76
Adult,0.06
Adult,0.47
Adult,0.35
Adult,0.72
Adult,0.67
Adult,0.50
Adult,0.06
Adult,0.11
Adult,0.56
Adult,0.28
Adult,0.61
Adult,0.58
Adult,0.32
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.32
Adult,0.21
Adult,0.47
Adult,0.53
Adult,0.84
Adult,0.26
Adult,0.47
Adult,0.35
Adult,0.40
Adult,0.85
Adult,0.50
Adult,0.35
Adult,0.05
Adult,0.15
Adult,0.40
Adult,0.30
Adult,0.71
Adult,0.19
Adult,0.76
Adult,0.19
Adult,0.33
Adult,0.50
Adult,0.27
Adult,0.32
Adult,0.41
Adult,0.23
Adult,0.55
Adult,0.17
Adult,0.22
Adult,0.39
Adult,0.17
Adult,0.17
Adult,0.58
Adult,0.50
Adult,0.04
Adult,0.29
Adult,0.54
Adult,0.04
Adult,0.13
Adult,0.96
Adult,0.25
Adult,0.52
Adult,0.12
Adult,0.44
Adult,0.12
Adult,0.12
Adult,0.08
Adult,0.12
Adult,0.16
Adult,0.65
Adult,0.38
Adult,0.15
Adult,0.58
Adult,0.23
Adult,0.26
Adult,0.41
Adult,0.19
Adult,0.26
Adult,0.78
Adult,0.48
Adult,0.25
Adult,0.04
Adult,0.07
Adult,0.14
Adult,0.75
Adult,0.32
Adult,0.18
Adult,0.14
Adult,0.29
Adult,0.36
Adult,0.14
Adult,0.14
Adult,0.10
Adult,0.38
Adult,0.28
Adult,0.31
Adult,0.10
Adult,0.38
Adult,0.60
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.37
Adult,0.70
Adult,0.23
Adult,0.20
Adult,0.03
Adult,0.32
Adult,0.45
Adult,0.47
Adult,0.16
Adult,0.21
Adult,0.58
Adult,0.39
Adult,0.33
Adult,0.30
Adult,0.79
Adult,0.03
Adult,0.24
Adult,0.18
Adult,0.09
Adult,0.41
Adult,0.20
Adult,0.77
Adult,0.26
Adult,0.46
Adult,0.54
Adult,0.14
Adult,0.14
Adult,0.39
Adult,0.22
Adult,0.31
Adult,0.39
Adult,0.69
Adult,0.32
Adult,0.49
Adult,0.43
Adult,0.51
Adult,0.05
Adult,0.30
Adult,0.50
Adult,0.08
Adult,0.53
Adult,0.13
Adult,0.23
Adult,0.49
Adult,0.64
Adult,0.28
Adult,0.38
Adult,0.38
Adult,0.55
Adult,0.65
Adult,0.43
Adult,0.33
Adult,0.13
Adult,0.15
Adult,0.30
Adult,0.25
Adult,0.15
Adult,0.49
Adult,0.27
Adult,0.63
Adult,0.22
Adult,0.22
Adult,0.54
Adult,0.44
Adult,0.48
Adult,0.21
Adult,0.57
Adult,0.24
Adult,0.57
Adult,0.31
Adult,0.38
Adult,0.38
Adult,0.40
Adult,0.63
Adult,0.19
Adult,0.19
Adult,0.95
Adult,0.21
Adult,0.49
Adult,0.16
Adult,0.32
Adult,0.43
Adult,0.16
Adult,0.45
Adult,0.53
Adult,0.80
Adult,0.48
Adult,0.20
Adult,0.28
Adult,0.24
Adult,0.04
Adult,0.30
Adult,0.60
Adult,0.06
Adult,0.19
Adult,0.45
Adult,0.06
Adult,0.17
Adult,0.46
Adult,0.44
Adult,0.35
Adult,0.58
Adult,0.44
Adult,0.43
Adult,0.41
Adult,0.24
Adult,0.40
Adult,0.28
Adult,0.18
Adult,0.46
Adult,0.30
Adult,0.26
Adult,0.28
Adult,0.56
Adult,0.20
Adult,0.31
Adult,0.41
Adult,0.69
Adult,0.31
Adult,0.59
Adult,0.49
Adult,0.63
Adult,0.43
Adult,0.45
Adult,0.53
Adult,0.46
Adult,0.40
Adult,0.62
Adult,0.28
Adult,0.49
Adult,0.32
Adult,0.02
Adult,0.24
Adult,0.44
Adult,0.22
Adult,0.18
Adult,0.35
Adult,0.51
Adult,0.05
Adult,0.20
Adult,0.38
Adult,0.18
Adult,0.39
Adult,0.09
Adult,0.18
Adult,0.27
Adult,0.32
Adult,0.58
Adult,0.60
Adult,0.16
Adult,0.57
Adult,0.45
Adult,0.53
Adult,0.40
Adult,0.14
Adult,0.40
Adult,0.31
Adult,0.36
Adult,0.24
Adult,0.20
Adult,0.51
Adult,0.47
Adult,0.59
Adult,0.42
Adult,0.29
Adult,0.37
Adult,0.52
Adult,0.20
Adult,0.45
Adult,0.77
Adult,0.67
Adult,0.21
Adult,0.33
Adult,0.24
Adult,0.45
Adult,0.40
Adult,0.27
Adult,0.10
Adult,0.25
Adult,0.47
Adult,0.23
Adult,0.48
Adult,0.09
Adult,0.42
Adult,0.42
Adult,0.47
Adult,0.24
Adult,0.63
Adult,0.37
Adult,0.42
Adult,0.22
Adult,0.69
Adult,0.34
Adult,0.74
Adult,0.43
Adult,0.54
Adult,0.52
Adult,0.31
Adult,0.23
Adult,0.74
Adult,0.29
Adult,0.42
Adult,0.21
Adult,0.58
Adult,0.85
Adult,0.41
Adult,0.33
Adult,0.15
Adult,0.10
Adult,0.42
Adult,0.25
Adult,0.28
Adult,0.08
Adult,0.33
Adult,0.37
Adult,0.33
Adult,0.49
Adult,0.49
Adult,0.35
Adult,0.51
Adult,0.07
Adult,0.46
Adult,0.18
Adult,0.38
Adult,0.20
Adult,0.23
Adult,0.50
Adult,0.62
Adult,0.39
Adult,0.42
Adult,0.03
Adult,0.31
Adult,0.20
Adult,0.34
Adult,0.20
Adult,0.43
Adult,0.46
Adult,0.37
Adult,0.39
Adult,0.51
Adult,0.21
Adult,0.46
Adult,0.47
Adult,0.18
Adult,0.17
Adult,0.36
Adult,0.67
Adult,0.24
Adult,0.24
Adult,0.10
Adult,0.32
Adult,0.34
Adult,0.43
Adult,0.83
Adult,0.50
Adult,0.13
Adult,0.22
Adult,0.59
Adult,0.32
Adult,0.37
Adult,0.51
Adult,0.22
Adult,0.75
Adult,0.23
Adult,0.47
Adult,0.34
Adult,0.28
Adult,0.09
Adult,0.38
Adult,0.34
Adult,0.69
Adult,0.26
Adult,0.44
Adult,0.18
Adult,0.02
Adult,0.11
Adult,0.26
Adult,0.57
Adult,0.58
Adult,0.69
Adult,0.60
Adult,0.80
Adult,0.31
Adult,0.74
Adult,0.58
Adult,0.19
Adult,0.22
Adult,0.84
Adult,0.21
Adult,0.20
Adult,0.17
Adult,0.04
Adult,0.33
Adult,0.60
Adult,0.33
Adult,0.17
Adult,0.51
Adult,0.60
Adult,0.08
Adult,0.71
Adult,0.33
Adult,0.19
Adult,0.47
Adult,0.32
Adult,0.18
Adult,0.34
Adult,0.60
Adult,0.64
Adult,0.33
Adult,0.41
Adult,0.19
Adult,0.31
Adult,0.43
Adult,0.34
Adult,0.56
Adult,0.20
Adult,0.28
Adult,0.65
Adult,0.18
Adult,0.07
Adult,0.10
Adult,0.29
Adult,0.20
Adult,0.80
Adult,0.63
Adult,0.19
Adult,0.51
Adult,0.24
Adult,0.10
Adult,0.34
Adult,0.21
Adult,0.11
Adult,0.23
Adult,0.46
Adult,0.21
Adult,0.12
Adult,0.48
Adult,0.25
Adult,0.29
Adult,0.33
Adult,0.65
Adult,0.70
Adult,0.70
Adult,0.06
Adult,0.39
Adult,0.28
Adult,0.23
Adult,0.50
Adult,0.29
Adult,0.36
Adult,0.39
Adult,0.33
Adult,0.07
Adult,0.28
Adult,0.72
Adult,0.57
Adult,0.31
Adult,0.65
Adult,0.05
Adult,0.06
Adult,0.06
Adult,0.43
Adult,0.24
Adult,0.12
Adult,0.25
Adult,0.57
Adult,0.14
Adult,0.15
Juvenile,0.67
Juvenile,0.33
Juvenile,0.33
Juvenile,0.33
Juvenile,0.75
Juvenile,0.20
Juvenile,0.40
Juvenile,0.20
Juvenile,0.43
Juvenile,0.71
Juvenile,0.78
Juvenile,0.56
Juvenile,0.30
Juvenile,0.30
Juvenile,0.30
Juvenile,0.45
Juvenile,0.50
Juvenile,0.50
Juvenile,0.15
Juvenile,0.50
Juvenile,0.71
Juvenile,0.21
Juvenile,0.67
Juvenile,0.40
Juvenile,0.80
Juvenile,0.27
Juvenile,0.69
Juvenile,0.19
Juvenile,0.94
Juvenile,0.35
Juvenile,0.11
Juvenile,0.68
Juvenile,0.05
Juvenile,0.25
Juvenile,0.43
Juvenile,0.71
Juvenile,0.52
Juvenile,0.33
Juvenile,0.64
Juvenile,0.35
Juvenile,0.48
Juvenile,0.48
Juvenile,0.58
Juvenile,0.25
Juvenile,0.44
Juvenile,0.54
Juvenile,0.12
Juvenile,0.54
Juvenile,0.54
Juvenile,1.92
Juvenile,0.61
Juvenile,0.50
Juvenile,0.38
Juvenile,0.59
Juvenile,0.47
Juvenile,0.90
Juvenile,0.67
Juvenile,0.38
Juvenile,0.63
Juvenile,0.31
Juvenile,0.24
Juvenile,0.50
Juvenile,0.65
Juvenile,0.43
Juvenile,0.46
Juvenile,0.83
Juvenile,0.28
Juvenile,0.22
Juvenile,0.39
Juvenile,0.67
Juvenile,0.24
Juvenile,0.56
Juvenile,0.45
Juvenile,0.25
Juvenile,0.49
Juvenile,0.46
Juvenile,0.26
Juvenile,0.09
Juvenile,0.30
Juvenile,0.23
Juvenile,0.33
Juvenile,0.07
Juvenile,0.50
Juvenile,0.55
Juvenile,0.42
Juvenile,0.31
Juvenile,0.33
Juvenile,0.40
Juvenile,0.45
Juvenile,0.49
Juvenile,0.90
Juvenile,0.75
Juvenile,0.79
Juvenile,0.44
Juvenile,0.23
Juvenile,0.63
Juvenile,0.36
Juvenile,0.42
Juvenile,0.74
Juvenile,0.16
Juvenile,0.25
Juvenile,0.17
Juvenile,0.30
Juvenile,0.13
Juvenile,0.40
Juvenile,0.54
Juvenile,0.48
Juvenile,0.22
Juvenile,0.45
Juvenile,0.13
Juvenile,0.27
Juvenile,0.58
Juvenile,0.57
Juvenile,0.40
Juvenile,0.67
Juvenile,0.65
Juvenile,0.73
Juvenile,0.34
Juvenile,0.85
Juvenile,0.69
Juvenile,0.42
Juvenile,0.22
Juvenile,0.73
Juvenile,0.23
Juvenile,0.36
Juvenile,0.66
Juvenile,0.95
Juvenile,0.23
Juvenile,0.33
Juvenile,0.19
Juvenile,0.44
Juvenile,0.62
Juvenile,0.73
Juvenile,0.95
Juvenile,0.28
Juvenile,0.72
Juvenile,0.28
Juvenile,0.24
Juvenile,0.51
Juvenile,0.47
Juvenile,0.22
Juvenile,0.41
Juvenile,0.16
Juvenile,0.29
Juvenile,0.61
Juvenile,0.28
Juvenile,0.08
Juvenile,0.34
Juvenile,0.56
Juvenile,0.84
Juvenile,0.55
Juvenile,0.30
Juvenile,0.39
Juvenile,0.56
Juvenile,0.65
Juvenile,0.51
Juvenile,0.54
Juvenile,0.48
Juvenile,0.55
Juvenile,0.38
Juvenile,0.71
Juvenile,0.41
Juvenile,0.23
Juvenile,0.81
Juvenile,0.77
Juvenile,0.51
Juvenile,0.60
Juvenile,0.50
Juvenile,0.08
Juvenile,0.78
Juvenile,0.49
Juvenile,0.69
Juvenile,0.69
Juvenile,0.31
Juvenile,0.46
Juvenile,0.53
Juvenile,0.36
Juvenile,0.69
Juvenile,0.32
Juvenile,0.27
Juvenile,0.36
Juvenile,0.62
Juvenile,0.34
Juvenile,0.63
Juvenile,0.28
Juvenile,0.78
Juvenile,0.10
Juvenile,0.14
Juvenile,0.31
Juvenile,0.70
Juvenile,0.49
Juvenile,0.19
Juvenile,0.51
Juvenile,0.23
Juvenile,0.50
Juvenile,0.57
Juvenile,0.44
Juvenile,0.65
Juvenile,0.67
Juvenile,0.42
Juvenile,0.84
Juvenile,0.08
Juvenile,0.49
Juvenile,0.09
Juvenile,0.13
Juvenile,0.60
Juvenile,0.71
Juvenile,0.48
Juvenile,0.51
Juvenile,0.40
Juvenile,0.49
Juvenile,0.52
Juvenile,0.22
