Age,MortRate
Adult,0.02
Adult,0.02
Adult,0.03
Adult,0.03
Adult,0.03
Adult,0.04
Adult,0.04
Adult,0.04
Adult,0.04
Adult,0.04
Adult,0.05
Adult,0.05
Adult,0.05
Adult,0.05
Juvenile,0.05
Adult,0.06
Adult,0.06
Adult,0.06
Adult,0.06
Adult,0.06
Adult,0.06
Adult,0.06
Adult,0.07
Adult,0.07
Adult,0.07
Adult,0.07
Adult,0.07
Adult,0.07
Juvenile,0.07
Adult,0.08
Adult,0.08
Adult,0.08
Adult,0.08
Juvenile,0.08
Juvenile,0.08
Juvenile,0.08
Adult,0.09
Adult,0.09
Adult,0.09
Adult,0.09
Juvenile,0.09
Juvenile,0.09
Adult,0.1
Adult,0.1
Adult,0.1
Adult,0.1
Adult,0.1
Adult,0.1
Adult,0.1
Adult,0.1
Juvenile,0.1
Adult,0.11
Adult,0.11
Adult,0.11
Juvenile,0.11
Adult,0.12
Adult,0.12
Adult,0.12
Adult,0.12
Adult,0.12
Adult,0.12
Juvenile,0.12
Adult,0.13
Adult,0.13
Adult,0.13
Adult,0.13
Adult,0.13
Adult,0.13
Adult,0.13
Adult,0.13
Juvenile,0.13
Juvenile,0.13
Juvenile,0.13
Adult,0.14
Adult,0.14
Adult,0.14
Adult,0.14
Adult,0.14
Adult,0.14
Adult,0.14
Adult,0.14
Juvenile,0.14
Adult,0.15
Adult,0.15
Adult,0.15
Adult,0.15
Adult,0.15
Adult,0.15
Adult,0.15
Juvenile,0.15
Adult,0.16
Adult,0.16
Adult,0.16
Adult,0.16
Adult,0.16
Juvenile,0.16
Juvenile,0.16
Adult,0.17
Adult,0.17
Adult,0.17
Adult,0.17
Adult,0.17
Adult,0.17
Adult,0.17
Juvenile,0.17
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.18
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Adult,0.19
Juvenile,0.19
Juvenile,0.19
Juvenile,0.19
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Adult,0.2
Juvenile,0.2
Juvenile,0.2
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Adult,0.21
Juvenile,0.21
Adult,0.22
Adult,0.22
Adult,0.22
Adult,0.22
Adult,0.22
Adult,0.22
Adult,0.22
Adult,0.22
Adult,0.22
Juvenile,0.22
Juvenile,0.22
Juvenile,0.22
Juvenile,0.22
Juvenile,0.22
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Adult,0.23
Juvenile,0.23
Juvenile,0.23
Juvenile,0.23
Juvenile,0.23
Juvenile,0.23
Juvenile,0.23
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Adult,0.24
Juvenile,0.24
Juvenile,0.24
Juvenile,0.24
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Adult,0.25
Juvenile,0.25
Juvenile,0.25
Juvenile,0.25
Juvenile,0.25
Adult,0.26
Adult,0.26
Adult,0.26
Adult,0.26
Adult,0.26
Adult,0.26
Adult,0.26
Juvenile,0.26
Adult,0.27
Adult,0.27
Adult,0.27
Adult,0.27
Adult,0.27
