Group,MortRate
Bird,1
Mammal,1
Bird,0.96
Mammal,0.96
Bird,0.95
Mammal,0.95
Mammal,0.95
Mammal,0.95
Reptile,0.95
Bird,0.94
Bird,0.94
Mammal,0.94
Bird,0.93
Bird,0.93
Bird,0.92
Mammal,0.92
Bird,0.91
Bird,0.9
Mammal,0.9
Mammal,0.9
Mammal,0.9
Bird,0.88
Mammal,0.85
Mammal,0.85
Mammal,0.85
Mammal,0.84
Mammal,0.84
Mammal,0.84
Mammal,0.84
Mammal,0.83
Mammal,0.83
Mammal,0.83
Mammal,0.81
Mammal,0.8
Mammal,0.8
Mammal,0.8
Mammal,0.8
Bird,0.79
Mammal,0.79
Mammal,0.79
Mammal,0.78
Mammal,0.78
Mammal,0.78
Mammal,0.78
Bird,0.77
Bird,0.77
Bird,0.77
Bird,0.77
Mammal,0.77
Mammal,0.77
Mammal,0.77
Bird,0.76
Mammal,0.76
Mammal,0.76
Bird,0.75
Bird,0.75
Mammal,0.75
Mammal,0.75
Mammal,0.75
Mammal,0.75
Mammal,0.75
Reptile,0.75
Bird,0.74
Bird,0.74
Mammal,0.74
Mammal,0.74
Mammal,0.74
Mammal,0.74
Bird,0.73
Bird,0.73
Bird,0.73
Bird,0.73
Mammal,0.73
Mammal,0.73
Mammal,0.73
Reptile,0.73
Bird,0.72
Bird,0.72
Mammal,0.72
Mammal,0.72
Mammal,0.72
Mammal,0.71
Mammal,0.71
Mammal,0.71
Mammal,0.71
Mammal,0.71
Mammal,0.71
Mammal,0.71
Reptile,0.71
Bird,0.7
Bird,0.7
Bird,0.7
Bird,0.7
Mammal,0.7
Mammal,0.7
Mammal,0.7
Mammal,0.7
Reptile,0.7
Bird,0.69
Bird,0.69
Bird,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Mammal,0.69
Reptile,0.69
Bird,0.68
Mammal,0.68
Bird,0.67
Bird,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.67
Mammal,0.66
Bird,0.65
Bird,0.65
Bird,0.65
Bird,0.65
Mammal,0.65
Mammal,0.65
Mammal,0.65
Mammal,0.65
Mammal,0.65
Mammal,0.65
Mammal,0.65
Mammal,0.65
Mammal,0.65
Bird,0.64
Bird,0.64
Bird,0.64
Bird,0.64
Mammal,0.64
Mammal,0.64
Mammal,0.64
Mammal,0.64
Reptile,0.64
Reptile,0.64
Mammal,0.63
Mammal,0.63
Mammal,0.63
Mammal,0.63
Mammal,0.63
