Year,MortRate
2013,0.017
1980,0.019
1994,0.030
1994,0.032
2014,0.035
2010,0.035
1996,0.036
1999,0.042
2014,0.042
2013,0.043
2008,0.050
2003,0.050
2003,0.051
2001,0.054
2001,0.054
1982,0.055
2011,0.056
2011,0.059
2009,0.059
2001,0.064
2012,0.064
2002,0.064
2014,0.064
1975,0.065
1998,0.067
1993,0.070
1995,0.071
2007,0.071
2005,0.071
2014,0.071
2003,0.074
2002,0.075
1998,0.077
1987,0.079
2017,0.080
1992,0.080
2000,0.082
2005,0.084
2005,0.088
1989,0.088
1997,0.088
1995,0.089
2000,0.092
2000,0.093
2006,0.095
1975,0.096
2012,0.096
2018,0.098
2009,0.099
2009,0.100
2016,0.102
1981,0.103
1996,0.103
2006,0.104
1992,0.104
2002,0.106
2007,0.108
2007,0.111
2013,0.111
1997,0.111
1997,0.115
2009,0.118
2004,0.120
1992,0.120
1997,0.120
1999,0.120
1999,0.121
2000,0.125
2007,0.125
1995,0.125
2001,0.125
2016,0.125
2004,0.127
2008,0.128
2001,0.133
2014,0.133
2010,0.133
2000,0.133
2005,0.135
2012,0.136
2002,0.138
2005,0.138
2011,0.139
1994,0.143
2011,0.143
1994,0.143
2007,0.143
2011,0.143
2007,0.149
2010,0.150
2013,0.150
2008,0.150
1996,0.151
2002,0.152
1986,0.152
1980,0.154
2005,0.154
1993,0.154
2014,0.155
1999,0.156
2008,0.157
2010,0.157
2012,0.158
2007,0.159
2000,0.159
1996,0.160
2011,0.161
2007,0.163
2009,0.167
2014,0.167
2004,0.170
2008,0.172
1991,0.173
2005,0.174
2001,0.174
1990,0.175
1989,0.176
2012,0.176
2005,0.179
2014,0.179
1996,0.179
1998,0.179
2012,0.180
2010,0.182
2009,0.183
2010,0.184
1991,0.185
2003,0.185
2006,0.186
2014,0.186
2003,0.186
2010,0.188
1995,0.188
2016,0.188
2000,0.188
2018,0.188
2015,0.189
2018,0.189
1991,0.190
1992,0.190
2014,0.190
2009,0.191
2011,0.192
2011,0.194
2002,0.195
2004,0.196
1999,0.199
2003,0.200
1999,0.200
2003,0.200
2003,0.200
2007,0.200
2018,0.200
2007,0.200
2004,0.200
2006,0.200
2013,0.200
2011,0.201
1985,0.202
2004,0.202
2014,0.203
1997,0.203
2006,0.205
1997,0.206
2012,0.208
1991,0.208
1998,0.209
2005,0.210
2004,0.211
2013,0.211
2003,0.211
2005,0.211
2006,0.212
2004,0.213
2014,0.213
2006,0.214
2013,0.214
2007,0.214
2001,0.214
1999,0.214
1999,0.217
2016,0.217
2009,0.219
2016,0.220
2003,0.220
1984,0.220
2004,0.221
2011,0.221
2002,0.221
2011,0.222
2003,0.222
2012,0.222
2009,0.222
2016,0.224
1985,0.224
1992,0.225
2015,0.225
2005,0.226
2006,0.227
1985,0.227
2015,0.228
2016,0.229
1995,0.229
2008,0.231
1993,0.231
1988,0.231
2013,0.231
1990,0.231
2005,0.231
2018,0.233
1977,0.233
2002,0.233
2006,0.233
2013,0.233
1995,0.233
2007,0.234
1986,0.234
2008,0.235
2012,0.235
2012,0.235
2000,0.237
2001,0.238
2010,0.238
2010,0.238
1993,0.239
2008,0.239
1996,0.240
1990,0.240
2008,0.241
2010,0.242
2015,0.243
2006,0.243
2015,0.245
2005,0.246
2007,0.250
2000,0.250
2007,0.250
2008,0.250
2008,0.250
1996,0.250
2006,0.250
1998,0.250
1999,0.250
2005,0.250
2018,0.250
2013,0.250
1992,0.250
2001,0.250
2017,0.250
2002,0.253
2005,0.254
2011,0.254
